"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PASSCAR","TOT","IDX2015","M","2017-04",117.454586702533,
"AUT","PASSCAR","TOT","IDX2015","M","2017-05",126.107825185137,
"AUT","PASSCAR","TOT","IDX2015","M","2017-06",137.83344946606,
"AUT","PASSCAR","TOT","IDX2015","M","2017-07",107.848519712855,
"AUT","PASSCAR","TOT","IDX2015","M","2017-08",101.342062193126,
"AUT","PASSCAR","TOT","IDX2015","M","2017-09",114.837225130042,
"AUT","PASSCAR","TOT","IDX2015","M","2017-10",109.843625933788,
"AUT","PASSCAR","TOT","IDX2015","M","2017-11",114.911117953039,
"AUT","PASSCAR","TOT","IDX2015","M","2017-12",99.7592001426002,
"AUT","PASSCAR","TOT","IDX2015","M","2018-01",111.103693020693,
"AUT","PASSCAR","TOT","IDX2015","M","2018-02",103.057153505858,
"AUT","PASSCAR","TOT","IDX2015","M","2018-03",137.701220203853,
"AUT","PASSCAR","TOT","IDX2015","M","2018-04",123.754922137058,
"AUT","PASSCAR","TOT","IDX2015","M","2018-05",126.593962178542,
"AUT","PASSCAR","TOT","IDX2015","M","2018-06",147.84398243425,
"AUT","PASSCAR","TOT","IDX2015","M","2018-07",122.413184035261,
"AUT","PASSCAR","TOT","IDX2015","M","2018-08",133.112086986113,
"AUT","PASSCAR","TOT","IDX2015","M","2018-09",66.869115716809,
"AUT","PASSCAR","TOT","IDX2015","M","2018-10",87.5552170601676,
"AUT","PASSCAR","TOT","IDX2015","M","2018-11",91.7982207386041,
"AUT","PASSCAR","TOT","IDX2015","M","2018-12",74.6434185153376,
"AUT","PASSCAR","TOT","IDX2015","M","2019-01",98.2268963393884,
"AUT","PASSCAR","TOT","IDX2015","M","2019-02",91.9382281927047,
"AUT","PASSCAR","TOT","IDX2015","M","2019-03",124.28772828183,
"AUT","PASSCAR","TOT","IDX2015","M","2019-04",124.260504610199,
"AUT","PASSCAR","TOT","IDX2015","M","2019-05",118.905219490852,
"AUT","PASSCAR","TOT","IDX2015","M","2019-06",126.508402067703,
"AUT","PASSCAR","TOT","IDX2015","M","2019-07",122.226507429794,
"AUT","PASSCAR","TOT","IDX2015","M","2019-08",116.237299671047,
"AUT","PASSCAR","TOT","IDX2015","M","2019-09",81.8538024015168,
"AUT","PASSCAR","TOT","IDX2015","M","2019-10",97.7640939216671,
"AUT","PASSCAR","TOT","IDX2015","M","2019-11",90.5031517881739,
"AUT","PASSCAR","TOT","IDX2015","M","2019-12",88.2124742752508,
"AUT","PASSCAR","TOT","IDX2015","M","2020-01",89.2897538526357,
"AUT","PASSCAR","TOT","IDX2015","M","2020-02",81.9315843204615,
"AUT","PASSCAR","TOT","IDX2015","M","2020-03",41.4344282218729,
"AUT","PASSCAR","TOT","IDX2015","M","2020-04",43.6356565280096,
"AUT","PASSCAR","TOT","IDX2015","M","2020-05",78.6025181896258,
"AUT","PASSCAR","TOT","IDX2015","M","2020-06",103.745523488519,
"AUT","PASSCAR","TOT","IDX2015","M","2020-07",96.3873539563449,
"AUT","PASSCAR","TOT","IDX2015","M","2020-08",81.3054398729562,
"AUT","PASSCAR","TOT","IDX2015","M","2020-09",86.190144382687,
"AUT","PASSCAR","TOT","IDX2015","M","2020-10",94.4039150232536,
"AUT","PASSCAR","TOT","IDX2015","M","2020-11",77.9958192218567,
"AUT","PASSCAR","TOT","IDX2015","M","2020-12",92.4515888577401,
"AUT","PASSCAR","TOT","IDX2015","M","2021-01",54.9645930223137,
"AUT","PASSCAR","TOT","IDX2015","M","2021-02",77.249112799987,
"AUT","PASSCAR","TOT","IDX2015","M","2021-03",114.829446938147,
"AUT","PASSCAR","TOT","IDX2015","M","2021-04",86.7112832396169,
"AUT","PASSCAR","TOT","IDX2015","M","2021-05",87.5163261006952,
"AUT","PASSCAR","TOT","IDX2015","M","2021-06",101.408176824229,
"AUT","PASSCAR","TOT","IDX2015","M","2021-07",77.4007875419293,
"AUT","PASSCAR","TOT","IDX2015","M","2021-08",68.9108910891089,
"AUT","PASSCAR","TOT","IDX2015","M","2021-09",69.4748100014584,
"AUT","PASSCAR","TOT","IDX2015","M","2021-10",57.3836107014957,
"AUT","PASSCAR","TOT","IDX2015","M","2021-11",68.1330718996613,
"AUT","PASSCAR","TOT","IDX2015","M","2021-12",68.634765276855,
"BEL","PASSCAR","TOT","IDX2015","M","2015-01",113.335967716828,
"BEL","PASSCAR","TOT","IDX2015","M","2015-02",106.582366394846,
"BEL","PASSCAR","TOT","IDX2015","M","2015-03",132.305923770521,
"BEL","PASSCAR","TOT","IDX2015","M","2015-04",123.152638574559,
"BEL","PASSCAR","TOT","IDX2015","M","2015-05",96.9980002634384,
"BEL","PASSCAR","TOT","IDX2015","M","2015-06",118.370035085198,
"BEL","PASSCAR","TOT","IDX2015","M","2015-07",86.5059692735089,
"BEL","PASSCAR","TOT","IDX2015","M","2015-08",74.8452299697046,
"BEL","PASSCAR","TOT","IDX2015","M","2015-09",87.9524853013376,
"BEL","PASSCAR","TOT","IDX2015","M","2015-10",94.5360491432266,
"BEL","PASSCAR","TOT","IDX2015","M","2015-11",87.0041072433572,
"BEL","PASSCAR","TOT","IDX2015","M","2015-12",78.4112272634743,
"BEL","PASSCAR","TOT","IDX2015","M","2016-01",106.156075247572,
"BEL","PASSCAR","TOT","IDX2015","M","2016-02",119.043000323311,
"BEL","PASSCAR","TOT","IDX2015","M","2016-03",135.127109003604,
"BEL","PASSCAR","TOT","IDX2015","M","2016-04",131.771862389386,
"BEL","PASSCAR","TOT","IDX2015","M","2016-05",117.004945456287,
"BEL","PASSCAR","TOT","IDX2015","M","2016-06",132.372980804924,
"BEL","PASSCAR","TOT","IDX2015","M","2016-07",82.3196944115146,
"BEL","PASSCAR","TOT","IDX2015","M","2016-08",92.574630886949,
